City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
425,kristiansund,63.1115,7.732,22.36,22.03,0,2.57,NO,1687788963
426,cabedelo,-6.9811,-34.8339,26.8,26.8,46,6.15,BR,1687788806
427,gizo,-8.103,156.8419,27.13,27.13,98,7.95,SB,1687788965
428,jiayuguan,39.8167,98.3,25.8,25.8,1,5.22,CN,1687788966
429,el nido,11.1858,119.3956,27.7,27.7,69,1.87,PH,1687788967
430,gobabis,-22.45,18.9667,23.92,23.92,0,8.75,NA,1687788968
431,ceeldheer,3.8488,47.1806,27.28,27.28,91,10.86,SO,1687788969
432,ulsteinvik,62.3432,5.8487,21.61,18.07,85,1.34,NO,1687788969
433,kingston,17.997,-76.7936,31.53,29.56,20,6.69,JM,1687788972
434,ulan bator,47.9077,106.8832,18.07,18.07,40,5.0,MN,1687788735
435,kidal,18.4411,1.4078,38.98,38.98,76,2.51,ML,1687788973
436,iwaki,37.05,140.8833,21.68,21.18,100,1.43,JP,1687788966
437,long beach,33.767,-118.1892,18.07,13.67,20,0.0,US,1687788937
438,gorgan,36.8387,54.4348,31.98,31.98,0,7.2,IR,1687788976
439,turpan,42.9333,89.1667,28.04,28.04,100,3.04,CN,1687788976
440,kyren,51.6828,102.1408,10.88,10.88,100,1.5,RU,1687788977
441,mahibadhoo,3.7833,72.9667,27.81,27.81,100,6.07,MV,1687788978
442,daye,30.0833,114.95,24.91,24.91,0,1.99,CN,1687788956
443,aasiaat,68.7098,-52.8699,2.49,2.49,88,2.84,GL,1687788980
444,la cruz,23.9167,-106.9,27.51,27.51,10,1.64,MX,1687788981
445,verkhotur'ye,58.8627,60.8054,17.81,17.81,80,2.77,RU,1687788982
446,bairnsdale,-37.8333,147.6167,10.59,10.59,11,3.04,AU,1687788982
447,pita,10.8333,-12.5833,29.92,29.92,100,0.83,GN,1687788983
448,andergrove,-21.0833,149.1833,17.03,17.03,95,1.93,AU,1687788984
449,o rosal,41.9354,-8.8368,28.53,28.45,3,6.58,ES,1687788985
450,banfora,10.6333,-4.7667,29.97,29.97,82,2.59,BF,1687788986
451,baiquan,47.5833,126.0833,27.9,27.9,100,2.67,CN,1687788986
452,bama,11.5221,13.6856,37.66,37.66,10,2.72,NG,1687788987
453,vila velha,-20.3297,-40.2925,25.97,25.53,75,3.09,BR,1687788774
454,suntar,62.1444,117.6319,15.82,15.82,92,3.15,RU,1687788989
455,fiambala,-27.6871,-67.6149,24.38,24.38,0,2.9,AR,1687788990
456,ust'-ilimsk,58.0006,102.6619,14.45,14.45,100,1.87,RU,1687788992
457,nuku'alofa,-21.1333,-175.2,22.19,22.19,20,4.12,TO,1687788993
458,veinticinco de mayo,-35.4323,-60.1727,18.32,18.32,99,0.45,AR,1687788863
459,midland,31.9974,-102.0779,32.81,31.14,0,6.17,US,1687788857
460,ust-tsilma,65.441,52.1498,19.94,19.94,41,4.27,RU,1687788995
461,bathsheba,13.2167,-59.5167,30.34,30.34,75,8.75,BB,1687788996
462,maymana,35.9214,64.7836,31.01,31.01,0,6.08,AF,1687788998
463,shagonar,51.5333,92.8,14.48,14.48,100,0.87,RU,1687788998
464,kribi,2.95,9.9167,26.69,26.69,94,4.84,CM,1687789000
465,manokwari,-0.8667,134.0833,26.53,26.53,28,2.82,ID,1687789001
466,agat village,13.3886,144.6585,28.52,26.53,40,5.66,GU,1687789001
467,nantucket,41.2835,-70.0995,22.08,19.43,100,2.57,US,1687788735
468,bogo,11.0517,124.0055,26.74,26.74,89,1.0,PH,1687789003
469,kitimat,54.0524,-128.6534,16.21,14.39,100,0.78,CA,1687789004
470,opuwo,-18.0607,13.84,26.73,26.73,0,6.57,NA,1687789005
471,nabire,-3.3667,135.4833,25.34,25.34,85,1.21,ID,1687789006
472,inhuma,-6.6683,-41.7078,30.59,30.59,5,4.4,BR,1687789007
473,murashi,59.3999,48.9615,17.74,17.74,86,2.81,RU,1687789008
474,guarapari,-20.6667,-40.4975,25.5,25.5,39,4.68,BR,1687788817
475,huayin,34.5675,110.0921,26.61,26.61,2,4.29,CN,1687789009
476,puerto deseado,-47.7503,-65.8938,6.47,6.47,100,3.03,AR,1687789010
477,lorengau,-2.0226,147.2712,27.81,27.81,100,6.18,PG,1687789011
478,isla mujeres,21.2311,-86.731,30.09,30.03,9,2.54,MX,1687789013
479,fort mcmurray,56.7268,-111.381,15.77,15.73,20,2.57,CA,1687789014
480,mokhsogollokh,61.4681,128.9203,19.13,19.13,95,2.49,RU,1687789017
481,manacapuru,-3.2997,-60.6206,30.89,30.89,62,1.75,BR,1687789017
482,onega,63.9061,38.1404,22.92,22.92,41,2.47,RU,1687788833
483,bezhetsk,57.7851,36.6965,20.14,20.14,85,2.79,RU,1687788796
484,waingapu,-9.6567,120.2641,25.02,25.02,17,1.55,ID,1687789020
485,benghazi,32.1167,20.0667,25.31,25.31,0,6.04,LY,1687788928
486,guane,22.2025,-84.0875,30.03,30.03,5,2.04,CU,1687789021
487,novodvinsk,64.4165,40.8122,24.51,24.51,80,2.78,RU,1687788845
488,aykhal,66.0,111.5,15.63,15.63,78,4.08,RU,1687789023
489,christchurch,-43.5333,172.6333,11.62,5.74,100,1.03,NZ,1687788991
490,coracora,-15.0333,-73.7833,14.39,14.39,3,1.01,PE,1687789025
491,at taraf,25.3628,49.725,41.07,41.07,20,6.69,SA,1687788729
492,egersund,58.4513,5.9997,14.67,14.67,100,2.75,NO,1687789026
493,mbala,-8.8402,31.3659,23.55,23.55,8,1.69,ZM,1687789027
494,bandarbeyla,9.4942,50.8122,29.37,29.37,55,12.06,SO,1687789028
495,urengoy,65.9667,78.3667,13.4,13.4,93,2.26,RU,1687789029
496,shinkafi,13.0753,6.5105,35.85,35.85,96,1.58,NG,1687789029
497,jasper,37.2001,-94.3502,25.57,22.81,0,2.57,US,1687789031
498,shimanovsk,52.0,127.7,18.48,18.48,100,0.78,RU,1687789032
499,coquimbo,-29.9533,-71.3436,14.85,14.85,0,3.6,CL,1687788778
500,lospalos,-8.5186,127.0025,22.86,22.86,89,2.07,TL,1687788799
501,luau,-10.7073,22.2247,28.76,28.76,6,0.88,AO,1687789034
502,pyapon,16.2833,95.6833,26.22,26.22,100,2.61,MM,1687789035
503,newman,37.3138,-121.0208,14.46,12.92,2,0.89,US,1687789036
504,laascaanood,8.4774,47.3597,29.91,29.91,100,10.72,SO,1687789037
505,guerrero negro,27.9769,-114.0611,17.64,17.64,0,7.44,MX,1687789038
